,country,date,Population,GDP,Population_Growth,Physicians_per1000,HIV_Incidence,Land_area,Literacy_rate,Hospital_beds_per1000,Government_health_expenditure,Prevalence_underweight_under5,Infant_mortality_per1000,Maternal_mortality_per100000,Life_expectancy,Adult_obesity,HIV_Prevalence,Fertility_rate,Female_Population,Male_Population,Population_65+,Population_age_0to14,Population_15to64,Death_per1000,Income_level,Region,Codes
226,Ireland,2016,4755335.0,63197.0823976808,1.12883406399428,3.2323,,68890.0,,2.96,7.4142108,,3.1,6.0,81.6536585365854,60.6,0.2,1.81,50.4977011322908,49.5022988677092,625212.0,1034539.0,3095584.0,6.4,HIC,Europe and Central Asia,IRL
228,Isle of Man,2016,83287.0,82206.0089984701,0.0636556371744733,,,570.0,,,,,,,,,,,,,,,,,HIC,Europe and Central Asia,IMN
230,Israel,2016,8546000.0,37321.6240397313,1.9603489624817,3.4632,,21640.0,,2.99,7.15261269,,3.1,3.0,82.4073170731707,64.3,,3.11,50.3725744186941,49.6274255813059,980274.0,2386758.0,5178968.0,5.2,HIC,Middle East and North Africa,ISR
232,Italy,2016,60627498.0,30939.7142462298,-0.169884073301448,3.9504,0.1,294140.0,,3.17,8.72533035,,2.9,2.0,83.2439024390244,58.5,0.3,1.34,51.442853170565,48.557146829435,13480440.0,8248168.0,38898890.0,10.1,HIC,Europe and Central Asia,ITA
234,Jamaica,2016,2906238.0,4843.33847410864,0.524973438240183,0.4549,0.97,10830.0,,1.78,5.70750713,4.4,13.1,80.0,74.175,55.5,1.4,2.009,50.3166976459634,49.6833023540366,249956.0,706329.0,1949952.0,7.542,LMY,Latin America and Caribbean,JAM
236,Japan,2016,126994511.0,38761.8181501925,-0.115284177050088,2.4115,,364500.0,,13.11,10.83460999,,2.0,5.0,83.9848780487805,27.2,,1.44,51.1450986925687,48.8549013074313,33770147.0,16400528.0,76823835.0,10.5,HIC,East Asia and Pacific,JPN
238,Jordan,2016,9551467.0,4176.58891025118,3.02809153676581,1.3954,,88780.0,,1.4,7.2834053,,14.7,47.0,74.184,69.6,,2.954,49.3763008559719,50.6236991440281,361187.0,3387133.0,5803146.0,3.826,LMY,Middle East and North Africa,JOR
240,Kazakhstan,2016,17794055.0,7714.84184376024,1.42204614032925,,0.31,2699700.0,,,3.42235565,,9.8,10.0,72.41,53.6,0.2,2.77,51.5612446302492,48.4387553697508,1231069.0,4859112.0,11703874.0,7.37,LMY,Europe and Central Asia,KAZ
242,Kenya,2016,49051686.0,1410.52756809011,2.42114319740052,,1.87,569140.0,,,5.14090538,,34.5,346.0,65.393,25.5,5.0,3.663,50.3231591283053,49.6768408716947,1067536.0,20063096.0,27921054.0,5.734,LMC,Sub-saharan Africa,KEN
244,Kiribati,2016,112524.0,1584.80744578963,1.42671604749201,,,810.0,,1.86,9.32036781,,43.5,94.0,67.577,78.7,,3.651,50.8766629046735,49.1233370953265,4157.0,39284.0,69083.0,6.481,LMC,East Asia and Pacific,KIR
246,"Korea, Dem. People's Rep.",2016,25307744.0,,0.490819483634355,3.7011,,120410.0,,,,,15.1,90.0,71.711,32.4,,1.917,51.098432036302,48.901567963698,2446938.0,5239075.0,17621731.0,8.856,LIC,East Asia and Pacific,KOR
248,"Korea, Rep.",2016,51217803.0,29288.8704389833,0.396851823381145,2.3037,,97489.0,,11.98,6.91432714,,2.9,11.0,82.2756097560976,30.3,,1.172,49.8979354985146,50.1020645014854,6831400.0,6913344.0,37473059.0,5.5,HIC,East Asia and Pacific,PRK
250,Kosovo,2016,1777557.0,3780.00368867233,-0.596734073866868,,,10887.0,,,,,,,71.7439024390244,,,2.06,,,,,,6.9,LMY,Europe and Central Asia,KSV
252,Kuwait,2016,3956875.0,27653.0667677649,3.11310424602455,,,17820.0,,2.04,4.03104591,,7.3,12.0,75.224,73.4,,2.082,40.6938882376995,59.3061117623005,88712.0,842701.0,3025462.0,2.518,HIC,Middle East and North Africa,KWT
254,Kyrgyz Republic,2016,6079500.0,1120.66651300848,2.0372244221997,,0.27,191800.0,,,6.41248226,,18.9,63.0,70.9512195121951,48.3,0.2,3.1,50.5176952113378,49.4823047886622,264977.0,1940501.0,3874021.0,5.5,LMC,Europe and Central Asia,KGZ
256,Lao PDR,2016,6845846.0,2308.80048220079,1.54094346574822,,0.22,230800.0,,,2.36087489,,40.4,196.0,66.924,25.4,0.3,2.751,49.7992067600683,50.2007932399317,267821.0,2273212.0,4304813.0,6.593,LMC,East Asia and Pacific,LAO
258,Late-demographic dividend,2016,2261412987.0,8188.04783266897,0.623114647844702,,,44558200.9,95.875602722168,3.99587422602158,5.54205971392876,,9.98345712856855,35.0,75.74643479024,38.8501185582673,,1.74628172543982,49.4939137049564,50.5060862950436,221922550.0,433041676.0,1606448758.0,7.45448074921089,INX,Late-demographic dividend,Late-demographic dividend
260,Latin America & Caribbean,2016,628488534.0,8589.62828786417,0.994285426964979,,,20039160.0,93.5949630737305,1.8714795779976,7.89372647620027,3.12042760848999,15.4,76.0,75.1220453188862,59.4388468158896,0.516226058638255,2.06541339658598,50.7812291545086,49.2187708454914,50013614.0,158720624.0,419426843.0,6.20957830300126,INX,Latin America & Caribbean,Latin America & Caribbean
262,Latin America & Caribbean (excluding high income),2016,596647568.0,8155.11061751262,1.00142991624237,,,19018950.0,93.4255905151367,1.8526944637359,7.86128660865499,,15.6942266920679,78.0,74.9237930776766,59.336195737952,0.515549284922896,2.07852085349687,50.771946988353,49.228053011647,46373643.0,152062633.0,398139985.0,6.18346287958723,INX,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income)
264,Latin America & the Caribbean (IDA & IBRD countries),2016,612506457.0,8429.0339590811,1.02833189043578,,,19913412.0,93.4726409912109,1.80450567195355,7.81768958504783,,15.5705023596779,76.0,75.0305805363335,59.4594011743592,0.518521171618833,2.07666954141067,50.7794140089843,49.2205859910157,47680935.0,156016979.0,408685607.0,6.14696063505438,INX,Latin America & the Caribbean (IDA & IBRD countries),Latin America & the Caribbean (IDA & IBRD countries)
266,Latvia,2016,1959537.0,14315.7928949778,-0.913885332226604,3.1885,0.37,62120.0,,5.72,6.20632744,,3.9,26.0,74.580487804878,57.8,0.4,1.74,54.1199383061544,45.8800616938456,385634.0,298410.0,1275493.0,14.6,HIC,Europe and Central Asia,LVA
268,Least developed countries: UN classification,2016,963511276.0,986.659726322111,2.37798472920225,,1.3231570235247,20373314.342,62.8924102783203,,4.35149142726488,,48.7578027541407,427.0,64.3457714393416,24.7830795002939,2.27609375901593,4.11695694260902,50.2815656585147,49.7184343414853,33703928.0,385528696.0,544267426.0,7.57101947622315,INX,Least developed countries: UN classification,Least developed countries: UN classification
270,Lebanon,2016,6711121.0,7629.89111711952,2.69490346984806,2.0115,0.05,10230.0,,2.73,7.98103571,,6.8,29.0,78.8,67.9,0.1,2.104,49.7020455354788,50.2979544645212,437563.0,1811559.0,4461999.0,4.181,LMY,Middle East and North Africa,LBN
272,Lesotho,2016,2075001.0,1043.56979064916,0.773100849082541,,13.57,30360.0,,,8.01058197,,72.3,559.0,52.059,38.7,24.2,3.197,50.7891651297492,49.2108348702508,100412.0,689421.0,1285168.0,15.157,LMC,Sub-saharan Africa,LSO
274,Liberia,2016,4586788.0,714.623392230031,2.52928313182972,,0.96,96320.0,,,9.79585648,13.6,65.2,661.0,62.802,30.9,1.7,4.461,49.8105646042503,50.1894353957497,146615.0,1917424.0,2522749.0,7.957,LIC,Sub-saharan Africa,LBR
276,Libya,2016,6492164.0,4035.1943155047,1.14402890002729,,0.14,1759540.0,,3.7,,,11.0,73.0,72.311,66.8,0.2,2.317,49.4341328617902,50.5658671382098,277640.0,1864857.0,4349667.0,5.108,LMY,Middle East and North Africa,LBY
278,Liechtenstein,2016,37658.0,165629.190482925,0.500480226864086,,,160.0,,,,,,,82.2585365853659,,,1.61,,,,,,7.2,HIC,Europe and Central Asia,LIE
280,Lithuania,2016,2868231.0,14998.1250595137,-1.27069453298857,4.7346,0.18,62642.0,,6.69,6.63686323,,3.9,8.0,74.6707317073171,59.6,0.2,1.69,53.904701588999,46.095298411001,544059.0,419963.0,1904209.0,14.3,HIC,Europe and Central Asia,LTU
282,Low & middle income,2016,6205237895.0,4383.45492143462,1.28168749386801,,,94708074.242,83.6880187988281,2.14318415200927,5.28911472884299,15.1348323822021,33.2990822373576,235.0,70.5393797482832,34.4057317142792,,2.58220784913751,49.4487954758713,50.5512045241287,414829762.0,1732336085.0,4056098475.0,7.34413766677372,INX,Low & middle income,Low & middle income
284,Low income,2016,618780841.0,790.161708482454,2.57715680110566,,1.16593488551198,15119949.342,59.2853889465332,,6.02069753935884,20.6008167266846,51.9,468.0,62.7586367116496,28.1550164682174,2.02148105249266,4.76162256373156,50.1889573820707,49.8110426179293,20116956.0,263618121.0,335045762.0,8.11811840483923,INX,Low income,Low income
286,Lower middle income,2016,2790617791.0,1921.07416217717,1.48349397476579,,,21934602.4,74.3532867431641,0.627047221380288,4.10074259867481,21.5878143310547,40.2,269.0,67.9371208615977,26.6606857879081,,2.82009773297274,49.0338289271507,50.9661710728493,146919449.0,870818180.0,1772880159.0,7.3628810302962,INX,Lower middle income,Lower middle income
288,Luxembourg,2016,582014.0,104278.390971905,2.15531198799205,2.9052,,2430.0,,4.81,5.19496346,,2.4,5.0,82.6853658536585,58.7,,1.41,49.7136030769974,50.2863969230025,81728.0,94516.0,405770.0,6.8,HIC,Europe and Central Asia,LUX
290,"Macao SAR, China",2016,612836.0,74061.0860345658,1.76987320822609,,,30.5,96.5384902954102,,,,,,83.854,,,1.207,52.0196663316058,47.9803336683942,56161.0,79235.0,477440.0,3.8,HIC,East Asia and Pacific,MAC
292,Madagascar,2016,24894380.0,475.955417183065,2.68818381201029,,0.36,581800.0,,,6.0193038,,39.6,348.0,65.931,23.9,0.2,4.184,50.1377660892804,49.8622339107196,716522.0,10280042.0,13897816.0,6.324,LIC,Sub-saharan Africa,MDG
294,Malawi,2016,17205289.0,315.777326372575,2.70990355147984,0.0165,4.9,94280.0,,,9.69365978,15.0,35.3,358.0,62.681,23.4,9.7,4.407,50.7203875467568,49.2796124532432,455507.0,7687933.0,9061850.0,7.074,LIC,Sub-saharan Africa,MWI
296,Malaysia,2016,30684804.0,9817.73845699838,1.3578645165386,,0.3,328550.0,94.8805770874023,1.62,3.68835807,13.7,7.0,29.0,75.649,42.5,0.4,2.037,48.5387091892064,51.4612908107936,1903410.0,7584141.0,21197253.0,4.942,LMY,East Asia and Pacific,MYS
298,Maldives,2016,475513.0,9209.24472691509,4.4283632941825,1.0379,,300.0,97.7349472045898,,10.19969177,,8.1,54.0,78.013,30.6,,1.947,39.2355495736112,60.7644504263888,18349.0,98649.0,358515.0,2.965,LMY,South Asia,MDV
